"","res","a","b","c","d"
"1",5951,992,5.998991935,0.051130261,116389.001
"2",7754,1297,5.978411719,0.060855779,127416.001
"3",5399,869,6.212888377,0.034909509,154657.0019
"4",10684,1288,8.295031056,0.069863399,152926.9997
"5",28317,2899,9.767850983,0.209586334,135109
"6",17660,2204,8.012704174,0.131368509,134430.9997
"7",13764,1809,7.608623549,0.101309427,135860.9994
"8",11339,1562,7.259282971,0.087878107,129030.9997
"9",11213,1655,6.775226586,0.088901751,126127.9994
"10",9321,1490,6.255704698,0.083631665,111453.0005
"11",10364,1280,8.096875,0.095566539,108447.9998
"12",6112,774,7.896640827,0.057238647,106781.0006
"13",7294,872,8.364678899,0.067132996,108649.9998
"14",5724,862,6.64037123,0.050857849,112548.9991
"15",6627,1066,6.216697936,0.051216459,129391.9988
"16",7829,1124,6.965302491,0.068926962,113583.9992
"17",10042,1395,7.198566308,0.095229967,105449.9998
"18",7267,952,7.633403361,0.069083857,105191
"19",7286,813,8.961869619,0.069281605,105165.0001
"20",6527,804,8.118159204,0.059468817,109754.9998
"21",6009,751,8.001331558,0.047862172,125548.0006
"22",10880,879,12.37770193,0.096238048,113052.9996
"23",16044,1257,12.76372315,0.174754109,91809.00004
"24",8051,850,9.471764706,0.088174092,91308.00009
"25",6869,660,10.40757576,0.074559309,92127.99974
"26",6844,605,11.31239669,0.079431768,86162.00007
"27",5857,527,11.11385199,0.068670786,85290.99987
"28",4909,582,8.434707904,0.049487384,99196.99938
"29",2812,174,16.16091954,0.028958941,97102.99835
"30",4299,109,39.44036697,0.055566327,77366.99962
"31",3156,95,33.22105263,0.04075729,77434.00015
"32",1294,56,23.10714286,0.017984962,71948.99828
"33",3355,79,42.46835443,0.047354901,70847.99945
"34",1982,54,36.7037037,0.02402366,82502.00011
"35",2043,69,29.60869565,0.020773384,98347.00018
"36",2891,88,32.85227273,0.031907027,90607.00014
"37",4005,104,38.50961538,0.056084582,71409.99999
"38",1880,69,27.24637681,0.025329076,74222.99969
"39",1986,66,30.09090909,0.027446482,72359.00033
"40",2300,79,29.11392405,0.032165133,71505.99999
"41",1427,56,25.48214286,0.018269575,78108.00197
"42",1620,56,28.92857143,0.018029649,89851.99878
"43",2081,68,30.60294118,0.022946807,90687.99855
"44",2732,92,29.69565217,0.039671246,68865.99932
"45",1769,56,31.58928571,0.02548771,69405.99999
"46",2024,68,29.76470588,0.029938171,67606.00038
"47",1998,50,39.96,0.030054152,66479.99917
"48",1968,52,37.84615385,0.026469401,74350.00135
"49",1545,48,32.1875,0.01906866,81022.99795
"50",1899,69,27.52173913,0.022758596,83440.99961
"51",2037,77,26.45454545,0.029693445,68600.99931
"52",1778,68,26.14705882,0.026404111,67337.999
"53",2284,62,36.83870968,0.035661311,64047.0004
"54",1555,72,21.59722222,0.023684411,65654.99982
"55",3842,109,35.24770642,0.031143608,123363.9982
"56",4907,127,38.63779528,0.036627056,133972.0015
"57",7882,321,24.55451713,0.037988471,207484.0022
"58",8202,413,19.85956416,0.038357394,213831.0022
"59",10118,439,23.04783599,0.053360757,189615.0012
"60",11128,465,23.9311828,0.053287618,208829.0004
"61",11290,500,22.58,0.052569332,214763.9997
"62",10754,492,21.85772358,0.051202209,210030.0009
"63",11670,487,23.96303901,0.052129865,223863.9981
"64",12078,534,22.61797753,0.058432794,206698.9985
"65",12617,586,21.53071672,0.06072288,207779.9999
"66",11572,535,21.62990654,0.056436942,205043.0018
"67",11368,538,21.13011152,0.056915128,199735.9999
"68",11552,546,21.15750916,0.050044838,230832.9982
"69",9767,431,22.6612529,0.040404249,241732.002
"70",11988,495,24.21818182,0.048217195,248624.9978
"71",12402,508,24.41338583,0.05539748,223872.9993
"72",11171,480,23.27291667,0.049005501,227954.0005
"73",12859,550,23.38,0.058645396,219266.9992
"74",13789,556,24.80035971,0.059672233,231079.0012
"75",21308,744,28.63978495,0.095566997,222964.0008
"76",37097,1155,32.11861472,0.155831117,238059.0008
"77",12281,543,22.61694291,0.052979875,231805.0014
"78",10530,523,20.13384321,0.048394213,217587.9996
"79",9265,481,19.26195426,0.042963732,215647.002
"80",11029,482,22.88174274,0.04987609,221127.9994
"81",10889,551,19.76225045,0.050716571,214703.0011
"82",11389,460,24.75869565,0.057552175,197890.0016
"83",9171,497,18.4527163,0.045557283,201307.0007
"84",7864,404,19.46534653,0.040553224,193917.9977
"85",8780,416,21.10576923,0.047251553,185813.9985
"86",9022,404,22.33168317,0.045591215,197889.0012
"87",9172,440,20.84545455,0.048846734,187770.9982
"88",4888,228,21.43859649,0.026039475,187714.9981
"89",7813,379,20.61477573,0.042958312,181873.9991
"90",8097,398,20.34422111,0.042705471,189600.9998
